PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Low-Rise Multifamily,47.60973588,4.0,1,Multifamily LR (1-4),CSC 7,61,Downtown,0,112.06,48383,48383,2953338.0,1.0,-122.34038419999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,116
Low-Rise Multifamily,47.54423839,4.0,1,Multifamily LR (1-4),CSC 1,266,Delridge,0,8.45,52134,52134,1212551.0,1.0,-122.376171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
Retail Store,47.61171108,4.0,1,NonResidential,CSC 7,325,Downtown,0,69.01,111077,111077,9898724.0,1.0,-122.33681575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27
Office,47.60679898,6.0,1,NonResidential,CSC 7,400,Downtown,25920,47.24,98370,72450,6525887.0,1.0,-122.33710009999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,110
Office,47.6214758,4.0,1,NonResidential,CSC 7,442,Lake union,37854,116.84,193788,155934,16760217.0,1.0,-122.34305020000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,69
Office,47.57089656,3.0,1,NonResidential,CSC 2,499,Greater duwamish,21410,134.69,76598,55188,4476997.0,1.0,-122.2974118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8
Office,47.6212428,4.0,1,NonResidential,CSC 7,559,Lake union,0,226.92,186971,186971,12662456.0,1.0,-122.3297865,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,35
Warehouse,47.62145274,1.0,1,NonResidential,CSC 7,560,Lake union,0,11.09,66968,66968,1575581.0,1.0,-122.33112849999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,61
Medical Office,47.60395194,15.0,1,NonResidential,CSC 3,675,East,250000,1891.47,434475,184475,55030192.0,1.0,-122.3240621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8
Office,47.60373017,5.0,1,NonResidential,CSC 7,714,Downtown,32160,260.94,192960,160800,6669954.0,1.0,-122.33736709999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,105
Other,47.57289218,1.0,1,NonResidential,CSC 2,790,Greater duwamish,0,39.08,54171,54171,1008645.0,1.0,-122.33503629999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,47
Medical Office,47.61142131,3.0,1,NonResidential,CSC 3,838,East,15479,231.39,83448,67969,6668456.0,1.0,-122.3213375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,88
Office,47.61832601,2.0,1,NonResidential,CSC 7,19658,Downtown,0,12.91,28568,28568,841242.0,1.0,-122.33341322,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,79
