Longitude,Neighborhood,BuildingType,TotalGHGEmissions,ComplianceStatus,PropertyGFAParking,CouncilDistrictCode,PropertyGFABuilding(s),OSEBuildingID,SiteEnergyUse(kBtu),PropertyGFATotal,NumberofBuildings,Latitude,NumberofFloors,PrimaryPropertyType,RecentUpgrade,Age,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7
-122.34038419999999,Downtown,Multifamily LR (1-4),4.727918651247145,1,0.0,CSC 7,1.8188463296147983,61,14.898446952647205,1.682199734037259,0.5623832079749569,47.60973588,1.2521384493209085,Low-Rise Multifamily,0,15.866962062753117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-122.376171,Delridge,Multifamily LR (1-4),2.2460147415056513,1,0.0,CSC 1,1.8190438352115983,266,14.00823778747211,1.6823208764502264,0.5623832079749569,47.54423839,1.2521384493209085,Low-Rise Multifamily,0,3.9517282538550025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-122.33681575,Downtown,NonResidential,4.248638088989106,1,0.0,CSC 7,1.8206482822176695,325,16.10791651893216,1.6832878612263549,0.5623832079749569,47.61171108,1.2521384493209085,Retail Store,0,7.471932572525635,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33710009999999,Downtown,NonResidential,3.87618855241893,1,1.613585274984213,CSC 7,1.8198240775212682,400,15.691287593867385,1.6831602670409775,0.5623832079749569,47.60679898,1.4406505700254684,Office,0,15.456999158514312,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.34305020000001,Lake union,NonResidential,4.769327772154375,1,1.6142136409283308,CSC 7,1.8211780797854005,442,16.634518660093523,1.6837679230918772,0.5623832079749569,47.6214758,1.2521384493209085,Office,0,12.23962267421882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.2974118,Greater duwamish,NonResidential,4.910372872157861,1,1.6132076302314742,CSC 2,1.8191890755447322,499,15.314463290495283,1.6828666891363493,0.5623832079749569,47.57089656,1.115211071164004,Office,0,3.672347980137566,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.3297865,Lake union,NonResidential,5.428994690189652,1,0.0,CSC 7,1.8214236198669496,559,16.354152031679412,1.6837415749818432,0.5623832079749569,47.6212428,1.2521384493209085,Office,0,8.59725109903461,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33112849999999,Lake union,NonResidential,2.492378664626701,1,0.0,CSC 7,1.8196501230903521,560,14.270135285794286,1.6826900761894017,0.5623832079749569,47.62145274,0.620374561057769,Warehouse,0,11.494264800843824,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.3240621,East,NonResidential,7.545638133138403,1,1.6158535254663535,CSC 3,1.8214062662029302,675,17.823392556207693,1.6842348854219544,0.5623832079749569,47.60395194,1.8247440416449128,Medical Office,0,3.672347980137566,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.33736709999998,Downtown,NonResidential,5.568115469901257,1,1.6139610986035715,CSC 7,1.8212213827403056,714,15.71312367124236,1.6837648021071967,0.5623832079749569,47.60373017,1.3568495478848541,Office,0,15.105664641973823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33503629999998,Greater duwamish,NonResidential,3.6908774567766094,1,0.0,CSC 2,1.8191421197107789,790,13.82411939535791,1.6823810062788584,0.5623832079749569,47.57289218,0.620374561057769,Other,0,10.045231820045485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.3213375,East,NonResidential,5.448416994792074,1,1.6124552212812755,CSC 3,1.8196835019307525,838,15.712899056797058,1.6829721487829978,0.5623832079749569,47.61142131,1.115211071164004,Medical Office,0,13.835207439634603,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.33341322,Downtown,NonResidential,2.6326080059353516,1,0.0,CSC 7,1.817197289139859,19658,13.64263583895549,1.6811738457934906,0.5623832079749569,47.61832601,0.9233157565208572,Office,0,13.106321507753929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.34543246,Northwest,NonResidential,5.4515533424468945,1,0.0,CSC 5,1.816114792586051,19780,15.655005667292677,1.680488354777227,0.5623832079749569,47.72969445,0.620374561057769,Other,0,10.15611310756719,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
