Longitude,Neighborhood,BuildingType,TotalGHGEmissions,ComplianceStatus,PropertyGFAParking,CouncilDistrictCode,PropertyGFABuilding(s),OSEBuildingID,SiteEnergyUse(kBtu),PropertyGFATotal,NumberofBuildings,Latitude,NumberofFloors,PrimaryPropertyType,RecentUpgrade,Age,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7
-122.33681575,Downtown,NonResidential,4.248638088989106,1,0.0,CSC 7,2.111025617312224,325,16.10791651893216,1.9458265420081429,0.5482643928877449,47.61171108,1.0445242012870617,Retail Store,0,10.111404897353582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33710009999999,Downtown,NonResidential,3.87618855241893,1,2.342087835937535,CSC 7,2.109052777591065,400,15.691287593867385,1.9455016108564538,0.5482643928877449,47.60679898,1.164201619984473,Office,0,24.475629117989364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.34305020000001,Lake union,NonResidential,4.769327772154375,1,2.3469379992315766,CSC 7,2.1123318171832297,442,16.634518660093523,1.9470816751108133,0.5482643928877449,47.6214758,1.0445242012870617,Office,0,18.357327283324743,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.2974118,Greater duwamish,NonResidential,4.910372872157861,1,2.3393299204841878,CSC 2,2.107572467551038,499,15.314463290495283,1.944765270194576,0.5482643928877449,47.57089656,0.9511921592896965,Office,0,4.422336737364369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.3297865,Lake union,NonResidential,5.428994690189652,1,0.0,CSC 7,2.1129495460608734,559,16.354152031679412,1.9470112404101132,0.5482643928877449,47.6212428,1.0445242012870617,Office,0,11.958559364804842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33112849999999,Lake union,NonResidential,2.492378664626701,1,0.0,CSC 7,2.1086441511952296,560,14.270135285794286,1.9443290594614484,0.5482643928877449,47.62145274,0.5703095532392818,Warehouse,0,16.99943454575655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.3240621,East,NonResidential,7.545638133138403,1,2.3623222434947144,CSC 3,2.1129056011860348,675,17.823392556207693,1.9483701591772957,0.5482643928877449,47.60395194,1.3754493859418562,Medical Office,0,4.422336737364369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.33736709999998,Downtown,NonResidential,5.568115469901257,1,2.344944739456089,CSC 7,2.1124401426513195,714,15.71312367124236,1.9470733212993465,0.5482643928877449,47.60373017,1.1122735634108494,Office,0,23.788238919821346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.33503629999998,Greater duwamish,NonResidential,3.6908774567766094,1,0.0,CSC 2,2.107464190568219,790,13.82411939535791,1.9435763932365022,0.5482643928877449,47.57289218,0.5703095532392818,Other,0,14.429164288580742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.3213375,East,NonResidential,5.448416994792074,1,2.334110951035414,CSC 3,2.10872236958322,838,15.712899056797058,1.945028080059319,0.5482643928877449,47.61142131,0.9511921592896965,Medical Office,0,21.341161603275598,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-122.33341322,Downtown,NonResidential,2.6326080059353516,1,0.0,CSC 7,2.103097010854012,19658,13.64263583895549,1.9407400476227201,0.5482643928877449,47.61832601,0.8115026719592557,Office,0,19.965391888338964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-122.34543246,Northwest,NonResidential,5.4515533424468945,1,0.0,CSC 5,2.1007476520504182,19780,15.655005667292677,1.9391861937938286,0.5482643928877449,47.72969445,0.5703095532392818,Other,0,14.622481620362434,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-122.35355257,Magnolia / queen anne,SPS-District K-12,1.7526720805200082,1,0.0,CSC 7,2.1047906086158736,19967,12.668491331686054,1.941848664769396,0.5482643928877449,47.63189062,0.5703095532392818,K-12 School,0,6.844449937429845,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-122.340694,Greater duwamish,NonResidential,3.4330189939851112,1,0.0,CSC 2,2.105541006950566,20617,13.67235932843887,1.9423364970608448,0.5482643928877449,47.56540757,0.5703095532392818,Retail Store,0,17.34554126222618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-122.34326609999998,Northwest,NonResidential,3.5865698352893665,1,0.0,CSC 5,2.1015514108279394,21237,14.146362745941122,1.9397197684952538,0.5482643928877449,47.72569066,0.5703095532392818,Retail Store,0,6.844449937429845,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-122.33934021,Downtown,NonResidential,1.691939133945844,1,0.0,CSC 7,2.106320594967795,21471,12.933427997419857,1.9428409629558918,0.5482643928877449,47.60940552,1.20556552331239,Other,0,24.74690160931959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
